10000
18,99994578
19,99991038
16,99975909
19,99971339
16,99968281
22,99962927
21,99951087
22,99948392
22,99918129
23,99914645
16,99912983
20,99912762
18,99911783
15,99904804
20,99887224
24,99886527
16,99856972
19,99852012
20,99830706
21,99830284
23,99818897
17,99814799
22,99811265
23,99795489
16,99776281
21,99764028
22,99744821
16,99731743
20,99724082
23,99717874
18,99713007
22,99709087
17,99702594
21,99679255
16,99678214
24,99664979
23,99653044
16,99652512
19,99652250
18,99632913
22,99632855
19,99630041
17,99623604
18,99614544
17,99605026
20,99602838
20,99602022
17,99598581
20,99572941
20,99544868
16,99543964
23,99532216
18,99530770
23,99525429
17,99502947
21,99499905
19,99498209
21,99483775
18,99463407
15,99447404
17,99442851
21,99395632
20,99387081
19,99386489
21,99383861
23,99380653
23,99376023
20,99375711
23,99371601
22,99361637
21,99358236
21,99349962
21,99338509
17,99335595
19,99333055
19,99302809
17,99297574
20,99284777
17,99254369
23,99251604
23,99247607
16,99236058
15,99232961
17,99225023
17,99216841
16,99214896
17,99208191
15,99203021
20,99170080
23,99154244
16,99151524
22,99140528
23,99138523
20,99129763
18,99116242
22,99112644
20,99105405
17,99095915
22,99090867
22,99079574
17,99079021
22,99073601
19,99071933
19,99058215
22,99056296
20,99055032
23,99051523
16,99038313
16,99036619
22,99019232
17,99003921
20,99001535
20,99001181
20,98967867
16,98944142
21,98943829
16,98941025
22,98936896
18,98924279
23,98920962
18,98902655
22,98902206
24,98895893
16,98882171
16,98874081
20,98851279
23,98842877
20,98814383
24,98742554
22,98722791
22,98686460
19,98679974
21,98672427
22,98661442
23,98650379
22,98632477
22,98608290
23,98571657
18,98569904
20,98554740
22,98549637
21,98522139
23,98520344
23,98499715
16,98496723
18,98493582
18,98484539
22,98468975
22,98465202
22,98464829
19,98434847
19,98431184
22,98429355
20,98404712
22,98401922
16,98401105
19,98399597
16,98390018
17,98385206
19,98378459
22,98364517
22,98333135
16,98330006
17,98316039
15,98314509
21,98273658
22,98270230
24,98254945
21,98244439
21,98231267
23,98229253
20,98210134
19,98187937
23,98180490
20,98151943
20,98144833
18,98134516
22,98132904
18,98105007
17,98094604
19,98086158
19,98072886
17,98065854
19,98061350
17,98060700
20,98044414
17,98021326
15,98020971
22,98007799
18,97969282
19,97961831
20,97957328
21,97947723
22,97923395
17,97906024
22,97905189
21,97888001
22,97882623
17,97880435
19,97871127
15,97850819
15,97827207
17,97820015
21,97807780
17,97804288
16,97802525
24,97766834
19,97764231
17,97754281
22,97752892
18,97733135
19,97721658
19,97712376
20,97698588
20,97690364
16,97689412
22,97686118
18,97671079
16,97669873
23,97664425
23,97659930
23,97657846
21,97655706
24,97655322
17,97652985
18,97647493
15,97642632
17,97621595
16,97621119
19,97594375
22,97564199
18,97547488
18,97538914
23,97528718
24,97526536
22,97493100
18,97492730
18,97467750
18,97466122
22,97463690
24,97450352
24,97408876
21,97405821
22,97403469
23,97395899
21,97381683
18,97379134
16,97358360
24,97348595
21,97344892
15,97326635
19,97313813
18,97305799
19,97302910
21,97293036
21,97288443
20,97280756
20,97279598
22,97277697
15,97250729
21,97243659
19,97236869
17,97234011
17,97233354
18,97230946
22,97217357
16,97211263
24,97186398
22,97175421
20,97171215
16,97165610
19,97149525
21,97148802
23,97138395
24,97125814
18,97116521
18,97107403
18,97093169
22,97081075
16,97079404
17,97056223
21,97054847
15,97052328
15,97050035
18,97040423
16,97037971
17,97028251
16,97027718
19,97022801
17,97015646
18,97015399
23,97011454
17,97005398
21,96981462
18,96973534
22,96972124
20,96971061
22,96964089
18,96962061
21,96957075
22,96954753
20,96954472
23,96948741
22,96935191
17,96910359
20,96910155
22,96909075
23,96894936
16,96871917
23,96861804
20,96841739
17,96815776
20,96806361
17,96796991
16,96788980
18,96788522
23,96785781
19,96769936
20,96751899
23,96747497
23,96736396
19,96732140
22,96731291
16,96716463
24,96705234
17,96692776
19,96691665
20,96690374
20,96688857
20,96687171
16,96673083
18,96661938
20,96646430
24,96639559
18,96619199
19,96606638
23,96606256
21,96591662
19,96548259
24,96547938
23,96542460
20,96493359
16,96480693
22,96477689
16,96473765
17,96464001
17,96461601
17,96439192
15,96426047
24,96423934
17,96420157
20,96403963
18,96398580
20,96376613
18,96369061
21,96357841
17,96354268
19,96346807
22,96342067
19,96338951
18,96333417
16,96323817
16,96304369
17,96304069
20,96296074
19,96295023
23,96293709
15,96291416
21,96276650
17,96262493
22,96250555
21,96250265
16,96247682
20,96247027
19,96244121
18,96232984
19,96155415
18,96135598
23,96109753
22,96109554
22,96105220
17,96104863
16,96094929
21,96081895
23,96079602
20,96078849
21,96066074
16,96044817
24,96033420
19,96033149
23,96022188
20,96015232
22,96010433
17,95997666
24,95982261
23,95951376
22,95940214
22,95935852
16,95929341
18,95922033
22,95915044
18,95913938
23,95896508
20,95894152
18,95893133
19,95879985
24,95874093
18,95866149
15,95858951
22,95857643
22,95835402
23,95807950
22,95803722
20,95801113
23,95798833
15,95795587
19,95789169
23,95787237
22,95782558
20,95780055
23,95775655
16,95771157
24,95770792
18,95755311
21,95752816
21,95752602
16,95742195
18,95736762
18,95734045
19,95726266
22,95725999
17,95720010
20,95718448
21,95716335
21,95714547
23,95713392
18,95707960
23,95704611
17,95700257
19,95684282
22,95677600
21,95666113
22,95665106
24,95659175
22,95654748
21,95649189
18,95636932
23,95633066
17,95613807
16,95598146
24,95595728
24,95583447
24,95569813
23,95567649
21,95566705
17,95562935
15,95543103
20,95536080
21,95534786
16,95534537
23,95507627
18,95506574
23,95500506
23,95470807
17,95466227
19,95446578
15,95444736
19,95431155
22,95425870
15,95425526
16,95419054
22,95404226
